num,Hc1zero,Hc2zero,Tc,b300,cohere,curiet,dHc2dt,debyet,dens,dtcdp,element,g300,gamma,gap,gapene,gapmeth,isoel,isotope,lata,latb,latc,moment,nHc1zero,nHc2zero,ncohere,ndHc2dto,neelt,npenet,pHc1zero,pHc2zero,pcohere,pdHc2dto,penet,ppenet,rh300,rh300n,rh300p,spheat,spjump,str3,thc300,tp300,tp300p,uHc1,uHc2,ub,ucohere,udHc2dt,udtcdp,ug,ugamma,ugap,uhall,ujump,umoment,upenet,uthc,utp,uye,ye300
77,,,,,,,,,,,Eu2Ba3Cu5OX,,,,,,,,3.861,3.8960000000000004,11.687999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,40.0,,,,,,,,Gd2Ba3Cu5OX,,,,,,,,3.852,3.9,11.700999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,Dy2Ba3Cu5OX,,,,,,,,3.8789999999999996,,11.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,Tm1Ba2Cu3OX,,,,,,,,3.823,3.892,11.674000000000001,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,Y1Ba2Cu3OX,,,,,,,,3.8289999999999997,3.888,11.667,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
82,,,70.0,,,,,,,,Y1Ba2Cu3OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
83,,,90.0,,,,,,,,Y1Ba2Cu3OX,,,,10.5,1.0,,,3.883,3.822,11.69,,,,,,,,,,,,,,,,,,,Y123,,,,,,,,,,,,,,,,,,,,
85,,,95.5,,,,,,,,Y0.3Ba0.7Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,94.0,,,,,,,,Y0.8Ba1.2Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,88.0,,,,,,,,Y0.6Ba0.9Cu1OX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,28.0,,,,,,,,Ba0.3La1.7Hg0.15Cu0.85O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,28.0,,,,,,,,Ba0.3La1.7Hg0.15Cu0.85O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,35.5,,,,,,,,La1.85Sr0.15Cu1O4-Y,,,,,,,,3.782,,13.229000000000001,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
94,,,79.2,,,,,,,,Yb1.6La0.2Ba0.2Cu1Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,26.0,,,,,,,,Sr0.35La1.65Cu1O4-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
97,,,92.0,,,,,,,,Y0.4Ba0.6Cu1OX,,,,,,,,3.818,3.888,11.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,88.0,,,,,,,,Yb0.4Ba0.6Cu1O3-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,71.9,,,,,,,,Lu1.8Ba0.2Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,81.0,,,,,,,,Y0.9Ba0.1Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,28.0,,,,,,,,Ba0.15La1.85Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
106,,,34.7,,,,,,,,Sr0.15La1.85Cu1O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
108,,,21.0,,,,,,,,Sr0.2La1.8Cu0.95Ti0.05O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
109,,,12.0,,,,,,,,Sr0.2La1.8Cu0.99V0.01O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
110,,,22.0,,,,,,,,Sr0.2La1.8Cu0.99Cr0.01O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
111,,,32.0,,,,,,,,Sr0.2La1.8Cu0.98Mn0.02O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
112,,,30.0,,,,,,,,Sr0.2La1.8Cu0.95Fe0.05O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
